Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,FT%,TRB,AST,STL,BLK,PF,PTS
Quincy Acy,PF,24,NYK,68,22,1287,152,331,0.459,0.784,301,68,27,22,147,398
Jordan Adams,SG,20,MEM,30,0,248,35,86,0.407,0.609,28,16,16,7,24,94
Steven Adams,C,21,OKC,70,67,1771,217,399,0.544,0.502,523,66,38,86,222,537
Jeff Adrien,PF,28,MIN,17,0,215,19,44,0.432,0.579,77,15,4,9,30,60
Arron Afflalo,SG,29,TOT,78,72,2502,375,884,0.424,0.843,247,129,41,7,167,1035
Alexis Ajinca,C,26,NOP,68,8,957,181,329,0.55,0.818,315,47,21,51,151,443
Furkan Aldemir,PF,23,PHI,41,9,540,40,78,0.513,0.481,176,28,17,16,96,93
Cole Aldrich,C,26,NYK,61,16,976,144,301,0.478,0.781,338,75,37,65,122,338
LaMarcus Aldridge,PF,29,POR,71,71,2512,659,1415,0.466,0.845,726,124,48,68,125,1661
Lavoy Allen,PF,25,IND,63,0,1070,141,299,0.472,0.702,323,73,15,42,102,315
Tony Allen,SG,33,MEM,63,41,1648,225,455,0.495,0.627,280,86,129,30,166,539
Al-Farouq Aminu,SF,24,DAL,74,3,1366,147,357,0.412,0.712,342,59,70,62,137,412
Lou Amundson,PF,32,TOT,53,35,937,109,255,0.427,0.471,268,70,22,52,126,259
Chris Andersen,C,36,MIA,60,20,1132,120,207,0.58,0.667,299,43,26,61,88,320
Alan Anderson,SG,32,BRK,74,19,1744,195,440,0.443,0.812,204,83,56,5,148,545
Kyle Anderson,SF,21,SAS,33,8,358,31,89,0.348,0.643,72,28,15,7,28,74
Ryan Anderson,PF,26,NOP,61,5,1675,291,729,0.399,0.854,295,55,33,20,113,833
Giannis Antetokounmpo,SG,20,MIL,81,71,2541,383,780,0.491,0.741,542,207,73,85,254,1030
Carmelo Anthony,SF,30,NYK,40,40,1428,358,806,0.444,0.797,264,122,40,17,87,966
Joel Anthony,C,32,DET,49,0,406,36,62,0.581,0.682,93,5,12,49,55,87
Pero Antic,PF,32,ATL,63,3,1037,108,296,0.365,0.715,189,49,18,14,132,356
Trevor Ariza,SF,29,HOU,82,82,2930,366,910,0.402,0.853,459,209,152,17,186,1048
Darrell Arthur,PF,26,DEN,58,4,988,155,384,0.404,0.78,171,57,48,26,146,382
Omer Asik,C,28,NOP,76,76,1982,213,412,0.517,0.582,748,72,29,54,144,557
D.J. Augustin,PG,27,TOT,82,14,1964,258,647,0.399,0.868,161,353,49,3,93,777
Jeff Ayres,PF,27,SAS,51,0,383,55,95,0.579,0.75,117,14,8,8,60,137
Luke Babbitt,SF,25,NOP,63,19,830,92,192,0.479,0.684,111,24,17,11,63,256
Cameron Bairstow,PF,24,CHI,18,1,64,3,14,0.214,0.8,8,1,2,1,8,10
Leandro Barbosa,SG,32,GSW,66,1,982,183,386,0.474,0.784,91,99,41,8,87,467
J.J. Barea,PG,30,DAL,77,10,1362,225,536,0.42,0.809,134,263,33,1,104,580
Andrea Bargnani,C,29,NYK,29,22,785,164,361,0.454,0.813,127,46,2,27,53,430
Harrison Barnes,SF,22,GSW,82,82,2318,316,656,0.482,0.72,453,116,61,19,146,827
Matt Barnes,SF,34,LAC,76,74,2271,277,624,0.444,0.779,302,114,67,50,240,764
Earl Barron,C,33,PHO,16,1,143,12,39,0.308,0.5,28,5,4,2,26,32
Will Barton,SG,24,TOT,58,0,983,150,353,0.425,0.787,162,81,48,19,70,397
Brandon Bass,PF,29,BOS,82,43,1929,344,683,0.504,0.79,398,104,41,32,140,866
Nicolas Batum,SF,26,POR,71,71,2380,240,600,0.4,0.857,416,341,78,40,106,664
Jerryd Bayless,PG,26,MIL,77,4,1717,220,516,0.426,0.883,211,233,59,12,163,598
Aron Baynes,C,28,SAS,70,17,1122,185,327,0.566,0.865,318,35,16,22,162,461
Kent Bazemore,SG,25,ATL,75,10,1324,141,331,0.426,0.6,222,78,52,33,127,390
Bradley Beal,SG,21,WAS,63,59,2107,363,851,0.427,0.783,241,194,76,18,136,962
Michael Beasley,SF,26,MIA,24,1,505,92,212,0.434,0.769,89,32,15,13,66,212
Marco Belinelli,SG,28,SAS,62,9,1388,199,470,0.423,0.848,157,94,31,3,85,568
Jerrelle Benimon,PF,23,UTA,2,0,3,0,0,,,3,0,0,0,0,0
Anthony Bennett,PF,21,MIN,57,3,894,125,297,0.421,0.641,216,48,27,16,87,298
Patrick Beverley,PG,26,HOU,56,55,1727,204,532,0.383,0.75,237,192,59,23,182,568
Sim Bhullar,C,22,SAC,3,0,3,1,2,0.5,,1,1,0,1,0,2
Bismack Biyombo,C,22,CHO,64,21,1243,101,186,0.543,0.583,407,16,18,99,140,304
Tarik Black,C,23,TOT,63,39,1196,157,273,0.575,0.551,368,42,19,24,158,379
DeJuan Blair,PF,25,WAS,29,0,180,26,57,0.456,0.667,56,3,7,1,41,56
Steve Blake,PG,34,POR,81,0,1529,122,327,0.373,0.707,137,288,41,5,118,350
